report_date,orders_all_np,AffiliatesAll_spend,DisplayAll_spend,SEMConversionXX_spend,SEMConversionOther_spend,SocialEngagement_spend,SocialConversion_spend,VideoEngagement_spend,VideoConversion_spend,VideoConversionPMAX_spend,OTTall_spend,TVall_spend,organic_seo_non_brand_clicks,organic_email_sends,covid_Q1_22,covid_Q2_22,search_terms_xxxx_core_brand_terms_searches,gcr_per_order_overall_ssl_avg_7d,gcr_per_order_overall_dom_protection_avg_7d,gcr_per_order_overall_dom_registration_avg_7d,gcr_per_order_overall_dom_marketplace_avg_7d,gcr_per_order_overall_o365_avg_7d,brand_tracker_gen_pop_describes_xxxx_aligns_values_lag_2qtr,brand_tracker_gen_pop_unaided_awareness_domains_web_hosting_lag_1qtr,brand_tracker_gen_pop_describes_xxxx_brand_trust_lag_1qtr,brand_tracker_gen_pop_describes_xxxx_proud_to_use_lag_1qtr,brand_tracker_gen_pop_describes_xxxx_aligns_values_lag_3qtr,brand_tracker_gen_pop_aided_awareness_lag_1qtr,cli,market_share_xxxx_net_adds_total_pct
2021-12-07,1632,1882.545,2833.20127,3030.17,12073.41,193.96007,1882.9301,2785.88042,933.27917,0,0,9559.597098,574,76393,0,0,65.35615274,164.7633231,15.714396,20.51667714,419.839093,44.64525286,0.221565401,0.422365698,0.239440234,0.255467583,0.222460673,0.720274576,102.8554,52
2021-12-08,1841,3631.743,2652.63182,2952.07,10650.8,185.98003,1871.05001,2588.13286,935.28183,0,0,11772.66405,528,151237,0,0,63.23241394,167.8534263,15.81604514,20.64049643,369.1522964,43.07984386,0.221584632,0.42233792,0.23961116,0.255475533,0.222453588,0.719974717,102.8554,41.3
2021-12-09,1793,1714.597,2504.82598,2850.29,10437.19,195,2059.58999,2573.47912,937.34507,0,0,22636.39245,466,60186,0,0,59.07800996,169.1248223,16.00030871,20.72409943,361.1592351,44.21609071,0.22160457,0.422310829,0.239785,0.255484796,0.222446253,0.719672629,102.8554,42.6
2021-12-10,1587,1711.937,2344.44253,2577.21,9678.65,208.65008,2636.0603,2603.65404,937.7773,0,0,11194.51596,454,66502,0,0,53.70714784,166.4846171,15.94123057,20.61883886,361.9205447,43.79085386,0.22162519,0.422284401,0.239961554,0.255495397,0.222438677,0.719368543,102.8554,41.5
2021-12-11,1096,1025.389,2005.15133,1899.08,7906.32,206.81007,2651.09038,2414.4764,940.60975,0,0,9530.682311,329,41401,0,0,37.45160698,160.4831886,15.74159229,20.524499,322.7916559,42.713208,0.221646468,0.422258612,0.240140617,0.25550736,0.222430869,0.719062693,102.8554,42.8
2021-12-12,1074,1669.41,2091.60379,2023.83,9404.54,195.44001,2738.56041,2494.61085,939.86425,0,0,17070.08077,365,42302,0,0,37.93958868,159.9668366,15.60422643,20.76892071,303.8811797,42.87679243,0.221668377,0.422233442,0.240321989,0.255520705,0.222422839,0.718755317,102.8554,91.7
2021-12-13,1693,1449.503,2697.82211,2964.26,11340.18,194.56011,1926.5404,1859.32784,941.87524,0,0,11106.20237,546,109167,0,0,63.94484804,153.0485691,15.28468857,20.42711143,251.7297511,43.20116057,0.221690891,0.422208869,0.240505464,0.255535455,0.222414597,0.718446655,102.8554,40.9
2021-12-14,1701,2644.454,2708.90266,2398.78,11610.07,198.21001,2242.71999,1775.47517,941.64047,0,0,8165.399454,574,63399,0,0,60.33614074,152.8848511,15.23430186,20.28961729,261.3087194,43.51333914,0.221713982,0.422184876,0.240690839,0.255551627,0.222406154,0.718136951,102.8554,41.9
2021-12-15,1688,1852.383,2629.29163,2473.15,11192.15,197.67,1873.73001,1804.24251,936.9756,0,0,15936.23286,789,63490,0,0,62.77838775,148.6357507,15.18877986,20.14654786,289.3074207,44.83888486,0.221737623,0.422161445,0.240877909,0.255569238,0.222397518,0.717826448,102.8554,39.1
2021-12-16,1614,1758.96,2677.01239,2379.26,9986.64,199.97,2258.63,2034.11731,937.95712,0,0,33860.85468,509,66230,0,0,56.33491067,146.1695127,15.21589614,20.23153486,322.7902779,45.26230614,0.221761786,0.422138562,0.241066471,0.255588304,0.222388702,0.717515395,102.8554,42.4
2021-12-17,1420,3000.838,2472.88691,2034.34,9433.84,197.00001,2553.83003,2169.28054,940.6048,0,0,8655.505913,391,58998,0,0,47.83785079,146.373398,15.21761029,20.22041943,264.6839003,44.51741771,0.22178644,0.422116213,0.24125632,0.255608838,0.222379716,0.717204041,102.8554,41.4
2021-12-18,1013,1437.752,1945.06466,1703.77,8426.51,202.37,2617.64,516.26054,935.97037,0,0,8086.546171,329,38702,0,0,34.01910815,144.8280919,15.18891,20.25819343,326.7810431,45.03684457,0.221811556,0.422094388,0.241447253,0.255630852,0.222370572,0.716892636,102.8554,39.3
2021-12-19,1034,1505.563,1664.61982,1820.55,8685.18,209.85001,2084.51999,520.35724,948.26434,0,0,9394.023038,314,36734,0,0,33.09807691,146.002011,15.35504114,20.16144629,354.9239003,44.33064714,0.221837104,0.422073076,0.241639068,0.255654356,0.222361279,0.716581433,102.8554,42.8
2021-12-20,1486,2386.857,1788.95714,2434.57,9720.42,198.11,1233.09,0,285.17686,0,0,2712.478536,394,105217,0,0,54.37129123,145.2038271,15.48643871,20.17968671,460.098186,43.829033,0.221863053,0.422052271,0.241831562,0.255679358,0.22235185,0.716270686,102.8554,37
2021-12-21,1452,1945.276,1826.74482,2482.65,10421.96,197.56,1688.44,0,287.69441,0,0,2529.740126,338,59743,0,0,52.6271665,147.1330384,15.78983557,20.77783414,426.4378686,43.879658,0.221889371,0.422031969,0.242024533,0.255705862,0.222342296,0.715960651,102.8554,43
2021-12-22,1541,1661.775,1642.15821,2334.24,11186.56,198.18,1888.13001,0,285.55611,0,0,2686.052718,295,60768,0,0,48.53590291,144.334791,15.69791543,20.96196357,432.7035829,42.20904914,0.221916028,0.422012165,0.242217783,0.255733874,0.222332629,0.715651583,102.8554,46.9
2021-12-23,1253,3490.485,1639.39278,2055.47,9213.85,201.5,1849.63,0,285.20731,0,0,2713.172012,234,64716,0,0,42.02460838,136.7712691,15.56838171,20.66128386,411.8750114,41.319929,0.221942991,0.421992859,0.242411112,0.255763395,0.22232286,0.71534374,102.8554,43.3
2021-12-24,836,1161.319,1364.87883,1291.13,5565.34,216.02,1861.24,0,259.09325,0,0,2496.219757,167,41389,0,0,26.77620356,143.3869324,15.44079843,20.10433443,490.4203176,40.75939657,0.221970228,0.421974055,0.242604324,0.255794423,0.222313002,0.715037379,102.8554,38.3
2021-12-25,740,1928.727,1060.8268,1158.7,5774.27,212.30001,1895.16006,0,260.74806,0,0,3046.002479,156,34583,0,0,22.77462271,139.3579529,15.54646457,20.06973371,462.548889,42.25543786,0.221997706,0.421955755,0.242797223,0.255826958,0.222303066,0.714732758,102.8554,41.9
2021-12-26,893,1316.584,1159.04276,1752.78,6850.43,208.94,2450.21002,0,264.85605,0,0,2738.923218,193,38559,0,0,28.66187969,151.7724266,15.66437914,20.00810029,464.1250794,42.87407386,0.222025392,0.421937967,0.242989615,0.255860993,0.222293064,0.714430136,102.8554,40.3
2021-12-27,1243,2518.718,1551.94056,2317.41,9083.85,210.74,1892.94,0,292.63371,0,0,0,255,67687,0,0,42.70781082,155.0400289,15.651927,19.87847271,391.9631747,42.28864214,0.222053253,0.421920701,0.243181311,0.255896521,0.222283008,0.71412977,102.8554,40.7
2021-12-28,1436,4127.53,1359.38793,2427.5,11030.81,196.55,1917.81,0,310.7702,0,0,0,274,49978,0,0,45.99232727,150.2869846,15.406743,19.21588729,557.5242857,41.29040114,0.222081256,0.421903968,0.243372119,0.255933533,0.22227291,0.713831919,102.8554,39.2
2021-12-29,1492,1673.976,1143.1969,2678.56,11286.46,201.46,1963.1,0,310.28829,0,0,0,266,47958,0,0,49.60536085,148.9736701,15.26633014,18.69176457,559.6192857,41.97673371,0.222109367,0.421887782,0.243561854,0.255972018,0.222262783,0.71353684,102.8554,40.2
2021-12-30,1418,2138.27,757.98343,2265.07,10106.78,216.19,2032.06,0,314.56744,0,0,0,303,47713,0,0,45.47862172,152.3387099,15.228463,19.02818814,545.6002381,41.68149443,0.222137553,0.421872162,0.243750331,0.25601196,0.222252639,0.713244791,102.8554,40.2
